location_name,mention_count,avg_sentiment_score,sentiment_label,avg_emotion_intensity,total_emotions_detected,unique_emotions,latitude,longitude,neutral,fear,surprise,disgust,sadness,death,hunger,anger,joy,trauma,survival,disease,cruelty,suffering,despair,exhaustion
Kenipir,2,0.012500000000000011,neutral,0.0,2,1,,,,2.0,,,,,,,,,,,,,,
Kiayap,2,-0.1375,negative,0.041666666666666664,4,3,,,,1.0,,,1.0,,2.0,,,,,,,,,
Kolapis,4,-0.1375,negative,0.0,5,3,117.708217,5.81161,3.0,1.0,,1.0,,,,,,,,,,,,
Kuching,14,-0.01149204631347489,neutral,0.034905073140367254,25,10,,,10.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,,,1.0,,,,
Kudat,4,0.0,neutral,0.0,4,1,,,4.0,,,,,,,,,,,,,,,
Kyogle,2,0.08712121212121211,neutral,0.041666666666666664,4,2,,,,,,,2.0,2.0,,,,,,,,,,
Labuan,28,-0.026951487665773377,neutral,0.0018796992481203006,33,7,,,22.0,2.0,1.0,1.0,3.0,,,,3.0,,,1.0,,,,
Labuan Island,2,0.24345238095238095,neutral,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
Labuk,12,-0.003958333333333331,neutral,0.0043859649122807015,16,3,,,9.0,6.0,,,1.0,,,,,,,,,,,
Lancashire,2,0.0,neutral,0.1111111111111111,4,2,,,,,,,2.0,2.0,,,,,,,,,,
Lansat,6,-0.11893939393939394,neutral,0.005952380952380952,7,4,,,4.0,1.0,,,,,1.0,1.0,,,,,,,,
Libaran Island,11,0.04308712121212121,neutral,0.002525252525252525,15,6,,,5.0,1.0,3.0,,3.0,,,,2.0,,1.0,,,,,
Lokopas,2,-0.125,negative,0.022727272727272728,6,3,,,,2.0,,,,,2.0,2.0,,,,,,,,
Malaya,2,0.07500000000000001,neutral,0.0,2,1,,,,,,2.0,,,,,,,,,,,,
